Arduino to MATLAB PPM Reader; by Gabriel Staples; 3 April 2014
Note: all of the channel PPM values read in by the Arduino are one or more loop iterations old; ex (if we are only preloading the serial buffer with ONE data packet): the PPM values that the Arduino is grabbing this loop will not be read into MATLAB until the next loop; and the PPM values being recorded this loop are the values the Arduino grabbed during the previous loop.

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
packet_num(-), Arduino time stamp--t(ms), PPM_gap, PPM_pd(us),PPM_freq(Hz), t_since_interrupt(ms), Tx_on(-),Bytes_avail_in_MATLAB_serial_buffer, Bad_packet_cnt,Ch1(us), Ch2(us), Ch3(us), Ch4(us), Ch5(us), Ch6(us), Ch7(us), Ch8(us)
1.0000,237.0000,0.0000,0.0000,4294967295.0000,237.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0000,773.0000,0.0000,0.0000,4294967295.0000,773.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0000,3077.0000,17263.0000,17263.0000,58.0000,941.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.0000,3208.0000,17263.0000,17263.0000,58.0000,1072.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0000,3329.0000,17263.0000,17263.0000,58.0000,1193.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.0000,3466.0000,17263.0000,17263.0000,58.0000,1330.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.0000,3591.0000,17263.0000,17263.0000,58.0000,1455.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.0000,3708.0000,17263.0000,17263.0000,58.0000,1572.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.0000,3827.0000,17263.0000,17263.0000,58.0000,1691.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.0000,3954.0000,17263.0000,17263.0000,58.0000,1818.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.0000,4075.0000,17263.0000,17263.0000,58.0000,1939.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.0000,4192.0000,17263.0000,17263.0000,58.0000,2056.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13.0000,4311.0000,17263.0000,17263.0000,58.0000,2175.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14.0000,4427.0000,17263.0000,17263.0000,58.0000,2291.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15.0000,4611.0000,17263.0000,17263.0000,58.0000,2475.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16.0000,4732.0000,17263.0000,17263.0000,58.0000,2596.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17.0000,4855.0000,17263.0000,17263.0000,58.0000,2719.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18.0000,4978.0000,17263.0000,17263.0000,58.0000,2842.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19.0000,5105.0000,17263.0000,17263.0000,58.0000,2969.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20.0000,5223.0000,17263.0000,17263.0000,58.0000,3087.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.0000,5352.0000,17263.0000,17263.0000,58.0000,3216.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22.0000,5474.0000,17263.0000,17263.0000,58.0000,3338.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23.0000,5615.0000,17263.0000,17263.0000,58.0000,3479.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24.0000,5735.0000,17263.0000,17263.0000,58.0000,3599.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25.0000,5853.0000,17263.0000,17263.0000,58.0000,3717.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26.0000,5976.0000,17263.0000,17263.0000,58.0000,3840.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27.0000,6094.0000,17263.0000,17263.0000,58.0000,3958.0000,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28.0000,6216.0000,11963.0000,22351.0000,45.0000,0.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
29.0000,6341.0000,11963.0000,22351.0000,45.0000,9.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,983.0000,981.0000,1490.0000,1491.0000
30.0000,6482.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,981.0000,1492.0000,1487.0000,1481.0000,982.0000,982.0000,1490.0000,1491.0000
31.0000,6594.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1491.0000,1490.0000
32.0000,6716.0000,11963.0000,22350.0000,45.0000,4.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
33.0000,6811.0000,11963.0000,22351.0000,45.0000,10.0000,1.0000,42.0000,0.0000,982.0000,1492.0000,1487.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
34.0000,6917.0000,11963.0000,22351.0000,45.0000,4.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
35.0000,7015.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,983.0000,1490.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
36.0000,7119.0000,11963.0000,22351.0000,45.0000,5.0000,1.0000,42.0000,0.0000,981.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
37.0000,7233.0000,11963.0000,22351.0000,45.0000,7.0000,1.0000,42.0000,0.0000,982.0000,1492.0000,1487.0000,1482.0000,981.0000,982.0000,1490.0000,1490.0000
38.0000,7332.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
39.0000,7437.0000,11962.0000,22351.0000,45.0000,10.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,981.0000,1491.0000,1490.0000
40.0000,7540.0000,11963.0000,22351.0000,45.0000,2.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1487.0000,1482.0000,982.0000,982.0000,1490.0000,1490.0000
41.0000,7644.0000,11963.0000,22351.0000,45.0000,0.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1482.0000,982.0000,982.0000,1490.0000,1490.0000
42.0000,7783.0000,11963.0000,22351.0000,45.0000,0.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1482.0000,981.0000,982.0000,1490.0000,1490.0000
43.0000,7887.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
44.0000,8001.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1492.0000,1489.0000
45.0000,8138.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,981.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
46.0000,8252.0000,11963.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
47.0000,8357.0000,11967.0000,22355.0000,45.0000,0.0000,1.0000,42.0000,0.0000,978.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
48.0000,8463.0000,11960.0000,22351.0000,45.0000,8.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1482.0000,981.0000,982.0000,1490.0000,1490.0000
49.0000,8574.0000,11963.0000,22351.0000,45.0000,8.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1490.0000
50.0000,8720.0000,11962.0000,22351.0000,45.0000,1.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1488.0000,1481.0000,982.0000,982.0000,1490.0000,1491.0000
51.0000,8909.0000,11963.0000,22351.0000,45.0000,7.0000,1.0000,42.0000,0.0000,982.0000,1491.0000,1487.0000,1481.0000,984.0000,980.0000,1490.0000,1490.0000
